"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 25 17:53:41 GMT 2024","Thu Jan 25 17:53:42 GMT 2024","108","Default Suite","API","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","postZipCodes","postZipCodes","Post ZipCodes Test"
"failed","Wed Jan 17 16:21:56 GMT 2024","Wed Jan 17 16:21:56 GMT 2024","55","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getZipCodes2","Get ZipCodes Test2","Get ZipCodes Test2"
"passed","Thu Feb 15 19:37:32 GMT 2024","Thu Feb 15 19:37:32 GMT 2024","24","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getZipCodes","getZipCodes","Get ZipCodes Test"
"passed","Thu Feb 15 19:37:32 GMT 2024","Thu Feb 15 19:37:32 GMT 2024","17","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getReadTokenTest","Get Read Token Test","Get Read Token Test"
"passed","Thu Feb 15 19:37:31 GMT 2024","Thu Feb 15 19:37:32 GMT 2024","791","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getUsersTest","getUsersTest","Get Users Test"
"passed","Thu Feb 15 19:37:32 GMT 2024","Thu Feb 15 19:37:32 GMT 2024","188","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","createUserWithAvailableZipCode","Create User Test","Create User Test"
"passed","Thu Feb 15 19:37:32 GMT 2024","Thu Feb 15 19:37:32 GMT 2024","61","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","updateUsersTest","Update Users Test","Update Users Test"
"passed","Thu Feb 15 19:37:32 GMT 2024","Thu Feb 15 19:37:32 GMT 2024","85","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","postZipCodes","postZipCodes","Post ZipCodes Test"
"passed","Thu Feb 15 19:37:32 GMT 2024","Thu Feb 15 19:37:32 GMT 2024","43","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","deleteUser","Delete Users Test","Delete Users Test"
"passed","Thu Feb 15 19:37:32 GMT 2024","Thu Feb 15 19:37:32 GMT 2024","23","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","getWriteTokenTest","Get Write Token Test","Get Write TokenTest"
"passed","Thu Feb 15 19:37:32 GMT 2024","Thu Feb 15 19:37:33 GMT 2024","192","Surefire suite","Surefire test","com.coherent.aqa.java.training.api.matveenko.TokenTests","com.coherent.aqa.java.training.api.matveenko.TokenTests","uploadUsers","Upload Users Test","Upload Users Test"
